1
77 107
a1 a6
a1 a5
a2 a1
a3 a2
a3 a6
a3 a7
a4 a3
a8 a4
a12 a8
a16 a12
a15 a16
a15 a11
a5 a9
a9 a13
a9 a10
a6 a10
a7 a11
a10 a7
a10 a14
a11 a10
a11 a13
a13 a14
a14 a15
a16 b1
b1 b6
b1 b2
b2 b6
b3 b6
b4 b3
b8 b4
b12 b8
b16 b12
b15 b16
b5 b1
b6 b7
b6 b10
b7 b17
b17 b11
b9 b5
b10 b9
b10 b11
b10 b13
b11 b15
b13 b14
b14 b15
b12 c1
b2 f2
c1 c6
c2 c3
c3 c4
c4 c8
c5 c1
c6 c2
c6 c7
c6 c9
c7 c8
c8 c12
c8 c11
c9 c5
c10 c9
c11 c10
c12 c11
c4 d1
d1 d5
d2 d1
d3 d2
d4 d3
d5 d6
d6 d10
d6 d7
d7 d8
d8 d4
d9 d5
d10 d13
d10 d14
d11 d7
d11 d12
d12 d8
d12 d16
d13 d9
d13 d14
d14 d11
d15 d14 
d16 d15
d9 f3
d16 e1
e1 e5
e2 e6
e2 e1
e3 e2
e3 e4
e4 e8
e8 e7
e8 e12
e7 e3
e6 e13
e5 e6
e5 e9
e9 e10
e10 e11
e11 e7
e12 e11
e13 e10
e12 f1
f1 f3
f3 f2
f2 f1
a1
